Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8275748k(4083312k free), swap 16664356k(10047336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.097: [GC (Allocation Failure) 0.097: [DefNew: 896K->64K(960K), 0.0015261 secs] 1033K->768K(524224K), 0.0016213 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.130: [GC (Allocation Failure) 0.153: [DefNew: 960K->64K(960K), 0.0012847 secs] 1755K->1488K(524224K), 0.0246716 secs] [Times: user=0.01 sys=0.00, real=0.03 secs] 
0.157: [GC (Allocation Failure) 0.157: [DefNew: 960K->64K(960K), 0.0007822 secs] 2406K->2001K(524224K), 0.0008111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.162: [GC (Allocation Failure) 0.162: [DefNew: 960K->64K(960K), 0.0005973 secs] 2961K->2514K(524224K), 0.0006250 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.165: [GC (Allocation Failure) 0.165: [DefNew: 960K->63K(960K), 0.0007313 secs] 3445K->2992K(524224K), 0.0007609 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.170: [GC (Allocation Failure) 0.170: [DefNew: 959K->64K(960K), 0.0013144 secs] 3896K->3540K(524224K), 0.0014127 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.173: [GC (Allocation Failure) 0.173: [DefNew: 960K->64K(960K), 0.0007561 secs] 4467K->4042K(524224K), 0.0007881 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.178: [GC (Allocation Failure) 0.178: [DefNew: 960K->63K(960K), 0.0009379 secs] 4953K->4549K(524224K), 0.0009959 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.184: [GC (Allocation Failure) 0.184: [DefNew: 959K->63K(960K), 0.0009161 secs] 5555K->5057K(524224K), 0.0009608 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.187: [GC (Allocation Failure) 0.187: [DefNew: 959K->63K(960K), 0.0008913 secs] 5999K->5550K(524224K), 0.0009308 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.192: [GC (Allocation Failure) 0.192: [DefNew: 959K->63K(960K), 0.0007490 secs] 6455K->5948K(524224K), 0.0007783 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.194: [GC (Allocation Failure) 0.194: [DefNew: 959K->64K(960K), 0.0006621 secs] 6846K->6320K(524224K), 0.0006858 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
